molecule_chembl_id,canonical_smiles,standard_value,compound_classification
CHEMBL422504,Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4ccc(O)c(N5CCN(C)CC5)c4)cc3)c(C)c2)no1,1000.0,active
CHEMBL300226,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,2.53,active
CHEMBL544370,Cl.OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCCN21,83.0,active
CHEMBL417049,CN(CCOC(c1ccccc1)c1ccccc1)C1CCN(CCCc2ccccc2)CC1,1910.0,intermediate
CHEMBL26320,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,3710.0,intermediate
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,338.0,active
CHEMBL336100,OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,129.0,active
CHEMBL544216,CN1CCC(CCc2cn(C)c3ccccc23)CC1.Cl,1000.0,active
CHEMBL781,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,94.0,active
CHEMBL284004,CN1CCC(CCc2c[nH]c3ccccc23)CC1,1000.0,active
CHEMBL67024,Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,470.0,active
CHEMBL130668,Oc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,60.0,active
CHEMBL443797,CN(CCCc1ccccc1)C1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,310.0,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,340.0,active
CHEMBL278080,Fc1ccc2[nH]cc(CC3CCNCC3)c2c1,170.0,active
CHEMBL421867,c1ccc(CCCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,390.0,active
CHEMBL336940,COc1cccc2c1C1=NCCN1C2(O)c1ccc(Cl)cc1,280.0,active
CHEMBL24075,COc1ccc2[nH]cc(CC3CCNCC3)c2c1,1000.0,active
CHEMBL66112,Fc1ccc(CCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,1130.0,intermediate
CHEMBL133043,COc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,94.0,active
CHEMBL133902,OC1(c2ccccc2)c2ccccc2C2=NCCN21,2140.0,intermediate
CHEMBL557413,Cl.c1ccc(Cn2cc(CCC3CCNCC3)c3ccccc32)cc1,1000.0,active
CHEMBL25416,Brc1ccc2[nH]cc(CC3CCNCC3)c2c1,1000.0,active
CHEMBL63703,c1ccc(CN2CCC(NCCOC(c3ccccc3)c3ccccc3)CC2)cc1,1860.0,intermediate
CHEMBL543980,Cl.Cn1cc(CCC2CCNCC2)c2ccccc21,400.0,active
CHEMBL1159866,O=C(O)/C=C/C(=O)O.Oc1ccc2[nH]cc(CCC3CCNCC3)c2c1,20.0,active
CHEMBL25428,Clc1ccc2[nH]cc(CCC3CCNCC3)c2c1,220.0,active
CHEMBL24042,c1ccc2c(CCCC3CCNCC3)c[nH]c2c1,60.0,active
CHEMBL1159870,Clc1ccc2[nH]cc(CC3CCNCC3)c2c1.O=C(O)/C=C/C(=O)O,1000.0,active
CHEMBL1159865,O=C(O)/C=C/C(=O)O.Oc1ccc2c(CCC3CCNCC3)c[nH]c2c1,1000.0,active
CHEMBL24783,c1ccc(-c2[nH]c3ccccc3c2CCC2CCNCC2)cc1,1000.0,active
CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,70.0,active
CHEMBL67203,c1ccc(CCCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,820.0,active
CHEMBL132683,COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,308.0,active
CHEMBL276520,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,30.0,active
CHEMBL59,NCCc1ccc(O)c(O)c1,30000.0,inactive
CHEMBL130477,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,53.0,active
CHEMBL132955,OC1(c2ccc(Cl)cc2)c2cc(Cl)c(Cl)cc2C2=NCCN21,444.0,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,325.0,active
CHEMBL278816,Cc1[nH]c2ccccc2c1CCC1CCNCC1,1000.0,active
CHEMBL133070,COC(=O)C1C(c2ccc(C(C)=O)c(C(C)=O)c2)CC2CCC1N2C,330.0,active
CHEMBL24731,COc1ccc2[nH]cc(CCC3CCNCC3)c2c1,1000.0,active
CHEMBL1159861,O=C(O)/C=C/C(=O)O.c1ccc(-n2cc(CCC3CCNCC3)c3ccccc32)cc1,1000.0,active
CHEMBL335423,COC(=O)C1C(c2ccc(OC)c(OC)c2)CC2CCC1N2C,23.0,active
CHEMBL67078,c1ccc(CCCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,770.0,active
CHEMBL132082,COc1ccc2c(c1)C(O)(c1ccc(Cl)cc1)N1CCN=C21,1960.0,intermediate
CHEMBL417035,Fc1ccc(CCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,1830.0,intermediate
CHEMBL69380,CN(CCc1ccc(F)cc1)CC1CCCN(CCOC(c2ccccc2)c2ccccc2)C1,2130.0,intermediate
CHEMBL132954,COc1cccc2c1C(O)(c1ccc(Cl)cc1)N1CCN=C21,3600.0,intermediate
CHEMBL429771,c1ccc2c(CC3CCNCC3)c[nH]c2c1,550.0,active
CHEMBL336613,Clc1ccc(C2c3ccccc3C3=NCCN32)cc1,15.0,active
CHEMBL150050,COc1cccc2c1O[C@@H](CN1C3C=C(n4ccc5cc(F)ccc54)CC1CC3)CO2,138.0,active
CHEMBL149776,COc1cccc2c1O[C@@H](CN1C3C=C(c4ccc(Cl)c(Cl)c4)CC1CC3)CO2,260.0,active
CHEMBL357321,COc1cccc2c1O[C@@H](CN1C3C=C(c4ccc5ccccc5c4)CC1CC3)CO2,767.0,active
CHEMBL356904,COc1cccc2c1O[C@@H](CN1C3C=C(c4cccc5ccccc45)CC1CC3)CO2,951.0,active
CHEMBL348708,COc1cccc2c1O[C@@H](CN1C3C=C(c4cccc5cccnc45)CC1CC3)CO2,109.0,active
CHEMBL137020,Fc1ccc(C(OCCC2CCN(Cc3cc4ccccc4s3)CC2)c2ccc(F)cc2)cc1,1037.0,intermediate
CHEMBL281594,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,73.0,active
CHEMBL416409,Fc1ccc(C(OCCC2CCN(Cc3ccc4ccccc4c3)CC2)c2ccc(F)cc2)cc1,277.0,active
CHEMBL322923,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2CCC1C2,5160.0,intermediate
CHEMBL88915,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,867.0,active
CHEMBL84680,COC(=O)C1=C(c2ccc3ccccc3c2)CC2CCC1N2C,109.0,active
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,2.0,active
CHEMBL121611,Fc1ccc(C(OCCNCCCNCCc2ccccc2)c2ccc(F)cc2)cc1,249.0,active
CHEMBL103138,COC(=O)c1ccccc1-c1ccc(F)cc1,33000.0,inactive
CHEMBL122859,O=C1CN(CCc2ccccc2)CCN1CCOC(c1ccc(F)cc1)c1ccc(F)cc1,3940.0,intermediate
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,358.0,active
CHEMBL123252,CN(CCCc1ccccc1)CCCN(C)CCOC(c1ccccc1)c1ccccc1,1700.0,intermediate
CHEMBL103152,COC(=O)C1=C(c2ccc3ccccc3c2)CC2CCC1C2,1310.0,intermediate
CHEMBL2111614,COC(=O)[C@H]1C2CCC(C2)C[C@@H]1c1ccc(Cl)c(Cl)c1,180.0,active
CHEMBL2111614,COC(=O)[C@H]1C2CCC(C2)C[C@@H]1c1ccc(Cl)c(Cl)c1,33.0,active
CHEMBL2111613,COC(=O)[C@H]1C2CCC(C2)C[C@@H]1c1ccc2ccccc2c1,64.0,active
CHEMBL420900,O=C(Cc1ccccc1)NCCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,1230.0,intermediate
CHEMBL322605,COC(=O)[C@@H]1C2CCC(C2)CC1c1ccc2ccccc2c1,106.0,active
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,12200.0,inactive
CHEMBL89469,COC(=O)C1=C(c2ccc(F)cc2)CC2CCC1N2C,7990.0,intermediate
CHEMBL327963,COC(=O)C1=C(c2ccc(F)cc2)CC2CCC1C2,35400.0,inactive
CHEMBL333667,O=C(Cc1ccccc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,1300.0,intermediate
CHEMBL87567,COC(=O)C1C(c2ccc3ccccc3c2)CC2CCC1N2C,2.19,active
CHEMBL102144,COC(=O)c1ccccc1-c1ccc(-c2ccc(Br)cc2)cc1,10.0,active
CHEMBL122452,CN(CCCN(C)CCc1ccccc1)CCOC(c1ccccc1)c1ccccc1,1700.0,intermediate
CHEMBL2112594,O=C(CCc1ccccc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,1140.0,intermediate
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,336.0,active
CHEMBL318592,COC(=O)C1C2CCC(C2)CC1c1ccccc1,20000.0,inactive
CHEMBL318138,COC(=O)[C@H]1C(c2ccc3ccccc3c2)CC2CCC1N2C,5.95,active
CHEMBL121027,CN(CCOC(c1ccccc1)c1ccccc1)CCN(C)CCc1ccc(F)cc1,1050.0,intermediate
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,27.0,active
CHEMBL121460,CN(CCOC(c1ccc(F)cc1)c1ccc(F)cc1)CCN(C)CCOC(c1ccc(F)cc1)c1ccc(F)cc1,10.0,active
CHEMBL123830,O=C(Cc1ccc(F)cc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,1900.0,intermediate
CHEMBL388545,COC(=O)[C@@H]1C2CCC(C2)C[C@@H]1c1ccc(Cl)c(Cl)c1,650.0,active
CHEMBL100010,COC(=O)C1=C(c2ccccc2)CC2CCC1C2,10000.0,inactive
CHEMBL124222,O=C1CN(CCOC(c2ccccc2)c2ccccc2)CCN1CCCc1ccccc1,10.0,active
CHEMBL103936,COC(=O)c1ccccc1-c1ccc2ccccc2c1,10.0,active
CHEMBL2112412,COC(=O)[C@@H]1C2CCC(C2)C[C@@H]1c1ccc2ccccc2c1,60.0,active
CHEMBL103831,COC(=O)c1ccccc1-c1ccccc1,70000.0,inactive
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,160.0,active
CHEMBL323348,COC(=O)c1ccccc1C(=O)OC,100000.0,inactive
CHEMBL101986,COC(=O)c1ccccc1-c1ccc(Cl)cc1,46000.0,inactive
CHEMBL2111613,COC(=O)[C@H]1C2CCC(C2)C[C@@H]1c1ccc2ccccc2c1,807.0,active
CHEMBL2112595,O=C(CCc1ccc(Br)cc1)N/C=C/NCCOC(c1ccc(F)cc1)c1ccc(F)cc1,4500.0,intermediate
CHEMBL281594,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,741.0,active
CHEMBL314402,COC(=O)C1C2CCC(CC1c1ccccc1)O2,10000.0,inactive
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,31.0,active
CHEMBL14391,COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2C,4.21,active
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,160.0,active
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,27.0,active
CHEMBL329454,COC(=O)C1C2CCC(CC1c1ccc(F)cc1)O2,2580.0,intermediate
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,64.5,active
CHEMBL88792,COC(=O)C1C2CCC(CC1c1ccc(Br)cc1)O2,276.0,active
CHEMBL14391,COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2C,64.9,active
CHEMBL313664,COC(=O)C1C2CCC(CC1c1ccc(I)cc1)O2,12.0,active
CHEMBL90903,COC(=O)C1C2CCC(CC1c1ccc(Cl)cc1)O2,816.0,active
CHEMBL109776,O=C(CC1CCN(Cc2ccc(F)cc2)CC1)NC(c1ccccc1)c1ccccc1,49179.0,inactive
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,5060.0,intermediate
CHEMBL1790051,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,21.0,active
CHEMBL329454,COC(=O)C1C2CCC(CC1c1ccc(F)cc1)O2,10000.0,inactive
CHEMBL110530,Fc1ccc(CN2CCC(CCNC(c3ccccc3)c3ccccc3)CC2)cc1,5848.0,intermediate
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,58.0,active
CHEMBL313664,COC(=O)C1C2CCC(CC1c1ccc(I)cc1)O2,72.0,active
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,2.47,active
CHEMBL88792,COC(=O)C1C2CCC(CC1c1ccc(Br)cc1)O2,30.0,active
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,2860.0,intermediate
CHEMBL306208,COC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,5.9,active
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,4.67,active
CHEMBL314402,COC(=O)C1C2CCC(CC1c1ccccc1)O2,11440.0,inactive
CHEMBL1790051,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,2000.0,intermediate
CHEMBL306208,COC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,998.0,active
CHEMBL90903,COC(=O)C1C2CCC(CC1c1ccc(Cl)cc1)O2,107.0,active
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,6.52,active
CHEMBL444592,Fc1ccc(C(NCCC2CCN(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1,10657.0,inactive
CHEMBL432727,CN1C2CCC1C(C(=O)NCCCCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,225.0,active
