molecule_chembl_id,canonical_smiles,compound_classification,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1642897,CN[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,active,306.236,4.659500000000003,1.0,1.0,6.97061622231479
CHEMBL1642898,CN(C)[C@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,320.26300000000003,5.001700000000004,0.0,1.0,8.154901959985743
CHEMBL1642899,CN(C)[C@@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,active,320.26300000000003,5.001700000000004,0.0,1.0,6.966576244513051
CHEMBL1642900,CN(C)[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,320.26300000000003,5.001700000000004,0.0,1.0,8.522878745280337
CHEMBL1642901,CN(C)[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,active,320.26300000000003,5.001700000000004,0.0,1.0,7.698970004336019
CHEMBL1642902,NC[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,306.236,4.646400000000003,1.0,1.0,8.698970004336019
CHEMBL1642903,NC[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,active,306.236,4.646400000000003,1.0,1.0,7.721246399047171
CHEMBL1642904,NC[C@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,306.236,4.646400000000003,1.0,1.0,9.0
CHEMBL1642905,NC[C@@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,active,306.236,4.646400000000003,1.0,1.0,7.214670164989233
CHEMBL1642906,CNC[C@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,320.26300000000003,4.907100000000004,1.0,1.0,8.045757490560675
CHEMBL1642907,CNC[C@@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,active,320.26300000000003,4.907100000000004,1.0,1.0,7.267606240177032
CHEMBL1642908,CNC[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,320.26300000000003,4.907100000000004,1.0,1.0,7.638272163982407
CHEMBL1642909,CNC[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,active,320.26300000000003,4.907100000000004,1.0,1.0,7.795880017344075
CHEMBL1642910,CN(C)C[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,334.2900000000001,5.249300000000005,0.0,1.0,6.507239610973162
CHEMBL1642911,CN(C)C[C@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,334.2900000000001,5.249300000000005,0.0,1.0,6.013228265733755
CHEMBL1642912,NCC[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,320.26300000000003,5.036500000000004,1.0,1.0,9.0
CHEMBL1642913,NCC[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,active,320.26300000000003,5.036500000000004,1.0,1.0,7.102372908709558
CHEMBL1642914,CN[C@H]1CCc2ccccc2[C@@H]1c1ccc(Cl)c(Cl)c1,active,306.236,4.659500000000004,1.0,1.0,7.376750709602099
CHEMBL528995,Clc1ccc(C23CNCC2C3)cc1Cl,active,228.12199999999999,2.854300000000001,1.0,1.0,7.920818753952375
CHEMBL528995,Clc1ccc(C23CNCC2C3)cc1Cl,active,228.12199999999999,2.854300000000001,1.0,1.0,7.853871964321762
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,active,309.33099999999996,4.435000000000003,1.0,2.0,8.2839966563652
CHEMBL1642897,CN[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,active,306.236,4.659500000000003,1.0,1.0,6.97061622231479
CHEMBL1643509,NC1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,active,293.197,4.535000000000003,1.0,2.0,6.187086643357144
CHEMBL1643510,CN(C)C1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,active,321.2510000000001,5.137900000000005,0.0,2.0,8.522878745280337
CHEMBL1643511,CNC1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,active,307.22400000000005,4.795700000000004,1.0,2.0,7.698970004336019
CHEMBL1643512,N[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,active,293.197,4.535000000000003,1.0,2.0,6.935542010773082
